Player,Team,Attacking Impact ML,Defensive Impact ML,Misc Impact,Total Impact (ML)
Wout Faes,Leicester City,2.06,-2.61,0.85,0.3
Joshua Zirkzee,Manchester Utd,3.38,-2.58,-0.56,0.24
Łukasz Fabiański,West Ham,2.63,-3.37,0.94,0.2
Jack Harrison,Everton,1.96,-1.58,-0.22,0.16
Michael Keane,Everton,2.34,-2.59,0.38,0.13
Facundo Buonanotte,Leicester City,2.68,-1.9,-0.69,0.09
Jamie Vardy,Leicester City,3.07,-2.83,-0.23,0.01
Erling Haaland,Manchester City,3.48,-2.97,-0.5,0.01
Jack Stephens,Southampton,1.42,-2.53,1.1,-0.01
Kamaldeen Sulemana,Southampton,2.63,-1.95,-0.78,-0.1
Harry Winks,Leicester City,2.07,-3.01,0.83,-0.11
Arijanet Muric,Ipswich Town,2.35,-3.36,0.89,-0.12
Wilfred Ndidi,Leicester City,1.94,-1.74,-0.33,-0.13
Craig Dawson,Wolves,2.47,-3.76,1.14,-0.15
Fraser Forster,Tottenham,3.59,-4.43,0.66,-0.18
Luke Thomas,Leicester City,1.33,-1.82,0.31,-0.18
Abdoulaye Doucouré,Everton,2.3,-1.91,-0.59,-0.2
Jakub Stolarczyk,Leicester City,1.95,-2.94,0.77,-0.22
Tim Iroegbunam,Everton,2.77,-2.23,-0.78,-0.24
Caleb Okoli,Leicester City,2.22,-3.11,0.57,-0.32
Kasey McAteer,Leicester City,2.33,-2.05,-0.6,-0.32
Beto,Everton,3.07,-2.16,-1.25,-0.34
Carlos Soler,West Ham,2.23,-2.69,0.1,-0.36
Dara O'Shea,Ipswich Town,1.98,-3.15,0.8,-0.37
Niclas Füllkrug,West Ham,3.9,-3.3,-1.01,-0.41
James Justin,Leicester City,1.96,-2.86,0.48,-0.42
Sam Morsy,Ipswich Town,1.91,-2.69,0.34,-0.44
Jack Clarke,Ipswich Town,2.37,-2.85,0.01,-0.47
Dean Henderson,Crystal Palace,2.5,-3.7,0.67,-0.53
Jens Cajuste,Ipswich Town,2.26,-3.07,0.21,-0.6
Jan Bednarek,Southampton,1.6,-3.35,1.06,-0.69
Gonçalo Guedes,Wolves,3.19,-3.51,-0.41,-0.73
Jørgen Strand Larsen,Wolves,3.25,-2.97,-1.01,-0.73
Jacob Greaves,Ipswich Town,1.65,-3.11,0.72,-0.74
Antonín Kinský,Tottenham,1.83,-3.59,1.01,-0.75
